Volume of imports of major arms by the top 10000 largest recipients  1980-2024;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:23 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1980-2024,,Recipient,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1980-2024, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,,Denmark,480,477,470,231,70,88,16,99,98,187,131,156,72,51,88,134,75,77,120,74,50,148,39,48,232,117,86,133,98,134,22,6,103,34,176,42,103,53,54,55,63,264,214,280,440,6187,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,,Oman,12,72,170,347,120,88,49,40,19,117,60,,,55,145,278,285,157,22,,121,32,40,37,49,178,297,12,72,95,31,21,127,492,719,152,422,757,282,88,85,4,4,4,,6155,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,,Yugoslavia,783,603,774,836,323,362,343,361,675,325,306,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5830,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,,France,70,106,142,108,73,20,100,84,134,107,77,963,439,102,84,99,64,223,171,105,98,61,38,55,93,2,68,75,2,72,103,41,86,104,17,36,38,84,201,104,225,105,130,114,183,5406,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,,Sweden,291,495,153,106,108,84,118,125,152,127,94,55,60,46,307,106,98,196,294,224,196,165,74,66,47,78,121,51,52,15,,185,202,58,48,24,70,32,7,7,3,110,318,98,56,5321,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,,Mexico,75,115,343,116,,8,137,154,103,63,32,40,19,160,136,55,92,495,19,136,215,149,97,20,321,40,78,,23,59,109,225,260,52,89,324,328,215,16,,277,3,,4,46,5249,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,,Portugal,36,57,192,12,109,154,3,9,90,149,74,1012,19,350,453,20,9,2,16,3,2,18,,29,70,158,220,60,145,371,891,170,42,11,3,1,21,8,19,44,45,6,,67,61,5228,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,,South Africa,192,122,44,192,100,25,191,20,17,11,10,26,361,238,239,38,38,11,,21,6,18,,,,262,741,910,493,134,178,208,127,1,50,2,,,,,,,30,30,,5088,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,,Nigeria,474,331,642,41,359,569,211,115,62,15,18,4,59,41,95,2,15,1,,,36,9,6,66,11,,16,62,33,65,223,63,28,30,236,188,61,42,49,18,84,273,53,93,93,4888,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,,Colombia,12,28,18,300,660,7,6,4,37,218,13,72,36,68,42,35,49,193,160,44,68,268,173,145,18,18,54,237,110,263,259,145,200,173,170,193,18,91,16,22,80,45,50,3,12,4835,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,,Cuba,349,960,960,778,426,352,281,75,167,94,169,159,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,4778,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,,Ethiopia,330,328,516,403,228,268,348,239,155,47,2,80,,,,,,69,208,152,114,,20,174,239,,,,,,58,76,193,154,33,10,55,51,14,76,25,16,45,2,48,4773,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,,Hungary,388,147,183,176,307,229,80,77,42,68,15,22,,928,2,1,156,99,88,152,14,14,,,72,13,253,196,5,4,18,8,,2,7,,14,5,27,16,55,20,40,246,581,4767,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,,Azerbaijan,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,63,168,213,34,147,163,569,397,398,642,351,287,290,375,44,51,,9,3,75,4449,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,,Bahrain,22,40,55,10,129,55,133,249,135,66,362,68,51,1,8,71,51,197,8,,299,28,52,1,10,66,63,27,21,,98,4,24,69,1,17,30,27,72,21,27,184,259,294,850,4255,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
