Volume of imports of major arms by the top 10000 largest recipients  1950-1980;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:54 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-1980,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1950-1980, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,,Mexico,,7,,12,,,,,16,2,20,30,109,60,38,12,22,15,,,82,48,15,158,61,104,69,39,74,68,75,1134,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,,DR Congo,,,,,,,,,,,2,9,13,32,64,23,27,16,7,28,19,165,15,5,9,445,134,28,38,15,10,1104,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,Oman,,,,,,,,,,1,1,,,1,1,1,2,7,5,36,26,62,11,71,67,181,150,250,81,43,12,1010,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,,Tanzania,,,,,,,,,,,,,,,4,4,22,1,,,11,60,51,121,185,48,,47,67,260,53,933,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,,Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,233,192,134,133,116,116,926,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,28,34,152,494,111,52,871,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,,Zambia,,,,,,,,,,,,,,,7,16,17,,,7,4,165,29,19,9,48,109,41,42,4,136,651,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,,Cambodia,,,,,4,19,36,10,4,2,1,2,5,11,41,43,37,20,15,18,8,22,104,114,25,,,,43,,34,619,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,,Myanmar,4,0,0,16,39,47,30,53,61,29,6,17,14,28,18,19,3,14,6,22,4,28,4,,,53,10,9,25,19,40,617,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,,Lebanon,0,,1,8,3,17,,40,71,11,,5,13,18,,34,72,80,1,,,10,52,55,41,11,4,8,2,19,37,614,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,,unknown recipient(s),,,,,,,,,,10,10,18,38,67,76,76,58,58,58,58,18,10,10,5,5,,,,,,30,605,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,,Tunisia,,,,,,,,11,,13,44,6,,7,4,40,,5,17,23,49,0,4,26,14,14,10,73,14,122,103,597,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,,Kenya,,,,,,,,,,,,,,,6,15,19,2,2,3,0,26,9,2,28,25,17,58,211,56,119,596,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,,Uruguay,68,3,39,3,1,2,22,12,9,,17,0,100,0,2,8,6,,10,12,10,16,24,6,5,13,53,2,8,9,22,481,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,,Laos,,,,,1,2,1,1,10,2,3,4,19,15,7,7,14,14,4,10,23,17,14,44,1,37,21,134,26,,35,465,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,,Ghana,,,,,,,,,,1,12,107,20,6,40,40,24,1,,,,,12,13,19,28,39,,18,7,38,426,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,10,2,76,44,39,70,62,45,1,55,403,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,,Zimbabwe,1,11,2,7,35,27,8,,61,,15,,16,20,,,,21,,,,5,21,0,2,42,20,4,16,,,333,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,,Uganda,,,,,,,,,,,,,,,3,1,16,4,27,16,3,3,20,17,46,123,34,7,,,,319,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,,Bolivia,,6,,,2,,,,26,3,6,4,2,4,2,2,1,14,17,1,2,2,12,16,23,17,16,1,11,53,40,283,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,,Guinea,,,,,,,,,,18,33,2,,0,0,18,,7,,0,1,4,5,18,24,2,18,8,45,69,,275,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
